行政名称, 行政编码, 行政等级
龙海市, 350681, district
龙文区, 350603, district
南靖县, 350627, district
平和县, 350628, district
芗城区, 350602, district
云霄县, 350622, district
漳浦县, 350623, district
长泰县, 350625, district
诏安县, 350624, district
重庆市, 500000, province
重庆城区, 500100, city
巴南区, 500113, district
北碚区, 500109, district
璧山区, 500120, district
大渡口区, 500104, district
大足区, 500111, district
涪陵区, 500102, district
合川区, 500117, district
江北区, 500105, district
江津区, 500116, district
九龙坡区, 500107, district
开州区, 500154, district
南岸区, 500108, district
南川区, 500119, district
綦江区, 500110, district
黔江区, 500114, district
荣昌区, 500153, district
沙坪坝区, 500106, district
铜梁区, 500151, district
潼南区, 500152, district
万州区, 500101, district
永川区, 500118, district
渝北区, 500112, district
渝中区, 500103, district
长寿区, 500115, district
重庆郊县, 500200, city
城口县, 500229, district
垫江县, 500231, district
丰都县, 500230, district
奉节县, 500236, district
梁平区, 500155, district
彭水苗族土家族自治县, 500243, district
石柱土家族自治县, 500240, district
巫山县, 500237, district
巫溪县, 500238, district
武隆区, 500156, district
秀山土家族苗族自治县, 500241, district
酉阳土家族苗族自治县, 500242, district
云阳县, 500235, district
忠县, 500233, district
海南省, 460000, province
儋州市, 460400, city
海口市, 460100, city
龙华区, 460106, district
美兰区, 460108, district
琼山区, 460107, district
秀英区, 460105, district
三沙市, 460300, city
南沙群岛, 460322, district
西沙群岛, 460321, district
中沙群岛的岛礁及其海域, 460323, district
三亚市, 460200, city
海棠区, 460202, district
吉阳区, 460203, district
天涯区, 460204, district
崖州区, 460205, district
白沙黎族自治县, 469025, city
保亭黎族苗族自治县, 469029, city
昌江黎族自治县, 469026, city
澄迈县, 469023, city
定安县, 469021, city
东方市, 469007, city
乐东黎族自治县, 469027, city
临高县, 469024, city
陵水黎族自治县, 469028, city
琼海市, 469002, city
琼中黎族苗族自治县, 469030, city
屯昌县, 469022, city
万宁市, 469006, city
文昌市, 469005, city
五指山市, 469001, city
广东省, 440000, province
中山市, 442000, city
东沙群岛, 442100, city
潮州市, 445100, city
潮安区, 445103, district
饶平县, 445122, district
湘桥区, 445102, district
东莞市, 441900, city
佛山市, 440600, city
禅城区, 440604, district
高明区, 440608, district
南海区, 440605, district
三水区, 440607, district
顺德区, 440606, district
广州市, 440100, city
白云区, 440111, district
从化区, 440117, district
番禺区, 440113, district
海珠区, 440105, district
花都区, 440114, district
黄埔区, 440112, district
荔湾区, 440103, district
南沙区, 440115, district
天河区, 440106, district
越秀区, 440104, district
增城区, 440118, district
河源市, 441600, city
东源县, 441625, district
和平县, 441624, district
连平县, 441623, district
龙川县, 441622, district
源城区, 441602, district
紫金县, 441621, district
惠州市, 441300, city
博罗县, 441322, district
惠城区, 441302, district
惠东县, 441323, district
惠阳区, 441303, district
龙门县, 441324, district
江门市, 440700, city
恩平市, 440785, district
鹤山市, 440784, district
江海区, 440704, district
开平市, 440783, district
蓬江区, 440703, district
台山市, 440781, district
新会区, 440705, district
揭阳市, 445200, city
惠来县, 445224, district
揭东区, 445203, district
揭西县, 445222, district
普宁市, 445281, district
榕城区, 445202, district
茂名市, 440900, city
电白区, 440904, district
高州市, 440981, district
化州市, 440982, district
茂南区, 440902, district
信宜市, 440983, district
梅州市, 441400, city
大埔县, 441422, district
丰顺县, 441423, district
蕉岭县, 441427, district
梅江区, 441402, district
梅县区, 441403, district
平远县, 441426, district
五华县, 441424, district
兴宁市, 441481, district
清远市, 441800, city
佛冈县, 441821, district
连州市, 441882, district
连南瑶族自治县, 441826, district
连山壮族瑶族自治县, 441825, district
清新区, 441803, district
清城区, 441802, district
阳山县, 441823, district
英德市, 441881, district
汕头市, 440500, city
潮南区, 440514, district
澄海区, 440515, district
潮阳区, 440513, district
濠江区, 440512, district
金平区, 440511, district
龙湖区, 440507, district
南澳县, 440523, district
汕尾市, 441500, city
城区, 441502, district
海丰县, 441521, district
陆丰市, 441581, district
陆河县, 441523, district
韶关市, 440200, city
乐昌市, 440281, district
南雄市, 440282, district
曲江区, 440205, district
仁化县, 440224, district
乳源瑶族自治县, 440232, district
始兴县, 440222, district
翁源县, 440229, district
武江区, 440203, district
新丰县, 440233, district
浈江区, 440204, district
深圳市, 440300, city
宝安区, 440306, district
福田区, 440304, district
龙岗区, 440307, district
龙华区, 440309, district
罗湖区, 440303, district
南山区, 440305, district
坪山区, 440310, district
盐田区, 440308, district
阳江市, 441700, city
江城区, 441702, district
阳西县, 441721, district
阳东区, 441704, district
阳春市, 441781, district
云浮市, 445300, city
罗定市, 445381, district
新兴县, 445321, district
云安区, 445303, district
郁南县, 445322, district
云城区, 445302, district
湛江市, 440800, city
赤坎区, 440802, district
雷州市, 440882, district
廉江市, 440881, district
麻章区, 440811, district
坡头区, 440804, district
遂溪县, 440823, district
吴川市, 440883, district
霞山区, 440803, district
徐闻县, 440825, district
肇庆市, 441200, city
德庆县, 441226, district
鼎湖区, 441203, district
端州区, 441202, district
封开县, 441225, district
高要区, 441204, district
广宁县, 441223, district
怀集县, 441224, district
四会市, 441284, district
珠海市, 440400, city
斗门区, 440403, district
金湾区, 440404, district
香洲区, 440402, district
广西壮族自治区, 450000, province
北海市, 450500, city
海城区, 450502, district
合浦县, 450521, district
铁山港区, 450512, district
银海区, 450503, district
百色市, 451000, city
德保县, 451024, district
靖西市, 451081, district
乐业县, 451028, district
凌云县, 451027, district
隆林各族自治县, 451031, district
那坡县, 451026, district
平果县, 451023, district
田林县, 451029, district
田东县, 451022, district
田阳县, 451021, district
西林县, 451030, district
右江区, 451002, district
崇左市, 451400, city
大新县, 451424, district
扶绥县, 451421, district
江州区, 451402, district
龙州县, 451423, district
宁明县, 451422, district
凭祥市, 451481, district
天等县, 451425, district
防城港市, 450600, city
东兴市, 450681, district
防城区, 450603, district
港口区, 450602, district
上思县, 450621, district
桂林市, 450300, city
叠彩区, 450303, district
灌阳县, 450327, district
恭城瑶族自治县, 450332, district
荔浦县, 450331, district
临桂区, 450312, district
灵川县, 450323, district
龙胜各族自治县, 450328, district
平乐县, 450330, district
七星区, 450305, district
全州县, 450324, district
象山区, 450304, district
兴安县, 450325, district
秀峰区, 450302, district
阳朔县, 450321, district
雁山区, 450311, district
永福县, 450326, district
资源县, 450329, district
贵港市, 450800, city
港南区, 450803, district
港北区, 450802, district
桂平市, 450881, district
平南县, 450821, district
覃塘区, 450804, district
河池市, 451200, city
巴马瑶族自治县, 451227, district
大化瑶族自治县, 451229, district
东兰县, 451224, district
都安瑶族自治县, 451228, district
凤山县, 451223, district
环江毛南族自治县, 451226, district
金城江区, 451202, district
罗城仫佬族自治县, 451225, district
南丹县, 451221, district
天峨县, 451222, district
宜州区, 451203, district
贺州市, 451100, city
八步区, 451102, district
富川瑶族自治县, 451123, district
平桂区, 451103, district
昭平县, 451121, district
钟山县, 451122, district
来宾市, 451300, city
合山市, 451381, district
金秀瑶族自治县, 451324, district
武宣县, 451323, district
忻城县, 451321, district
象州县, 451322, district
兴宾区, 451302, district
柳州市, 450200, city
城中区, 450202, district
柳城县, 450222, district
柳北区, 450205, district
柳江区, 450206, district
柳南区, 450204, district
鹿寨县, 450223, district
融水苗族自治县, 450225, district
融安县, 450224, district
三江侗族自治县, 450226, district
鱼峰区, 450203, district
南宁市, 450100, city
宾阳县, 450126, district
横县, 450127, district
江南区, 450105, district
良庆区, 450108, district
隆安县, 450123, district
马山县, 450124, district
青秀区, 450103, district
上林县, 450125, district
武鸣区, 450110, district
西乡塘区, 450107, district
兴宁区, 450102, district
邕宁区, 450109, district
钦州市, 450700, city
灵山县, 450721, district
浦北县, 450722, district
钦北区, 450703, district
钦南区, 450702, district
梧州市, 450400, city
苍梧县, 450421, district
岑溪市, 450481, district
龙圩区, 450406, district
蒙山县, 450423, district
藤县, 450422, district
万秀区, 450403, district
长洲区, 450405, district
玉林市, 450900, city
博白县, 450923, district
北流市, 450981, district
福绵区, 450903, district
陆川县, 450922, district
容县, 450921, district
兴业县, 450924, district
玉州区, 450902, district
山西省, 140000, province
大同市, 140200, city
城区, 140202, district
大同县, 140227, district
广灵县, 140223, district
浑源县, 140225, district
矿区, 140203, district
灵丘县, 140224, district
南郊区, 140211, district
天镇县, 140222, district
新荣区, 140212, district
阳高县, 140221, district
左云县, 140226, district
晋城市, 140500, city
城区, 140502, district
高平市, 140581, district
陵川县, 140524, district
沁水县, 140521, district
阳城县, 140522, district
泽州县, 140525, district
晋中市, 140700, city
和顺县, 140723, district
介休市, 140781, district
灵石县, 140729, district
平遥县, 140728, district
祁县, 140727, district
寿阳县, 140725, district
太谷县, 140726, district
昔阳县, 140724, district
榆次区, 140702, district
榆社县, 140721, district
左权县, 140722, district
临汾市, 141000, city
安泽县, 141026, district
大宁县, 141030, district
汾西县, 141034, district
浮山县, 141027, district
古县, 141025, district
洪洞县, 141024, district
侯马市, 141081, district
霍州市, 141082, district
吉县, 141028, district
蒲县, 141033, district
曲沃县, 141021, district
隰县, 141031, district
襄汾县, 141023, district
乡宁县, 141029, district
尧都区, 141002, district
翼城县, 141022, district
永和县, 141032, district
吕梁市, 141100, city
方山县, 141128, district
汾阳市, 141182, district
交城县, 141122, district
交口县, 141130, district
岚县, 141127, district
离石区, 141102, district
柳林县, 141125, district
临县, 141124, district
石楼县, 141126, district
文水县, 141121, district
孝义市, 141181, district
兴县, 141123, district
中阳县, 141129, district
朔州市, 140600, city
怀仁县, 140624, district
平鲁区, 140603, district
山阴县, 140621, district
朔城区, 140602, district
应县, 140622, district
右玉县, 140623, district
太原市, 140100, city
古交市, 140181, district
尖草坪区, 140108, district
晋源区, 140110, district
娄烦县, 140123, district
清徐县, 140121, district
万柏林区, 140109, district
小店区, 140105, district
杏花岭区, 140107, district
阳曲县, 140122, district
迎泽区, 140106, district
阳泉市, 140300, city
城区, 140302, district
郊区, 140311, district
矿区, 140303, district
平定县, 140321, district
盂县, 140322, district
忻州市, 140900, city
保德县, 140931, district
代县, 140923, district
定襄县, 140921, district
繁峙县, 140924, district
河曲县, 140930, district
静乐县, 140926, district
岢岚县, 140929, district
宁武县, 140925, district
偏关县, 140932, district
神池县, 140927, district
五寨县, 140928, district
五台县, 140922, district
忻府区, 140902, district
原平市, 140981, district
运城市, 140800, city
河津市, 140882, district
稷山县, 140824, district
绛县, 140826, district
临猗县, 140821, district
平陆县, 140829, district
芮城县, 140830, district
万荣县, 140822, district
闻喜县, 140823, district
夏县, 140828, district
新绛县, 140825, district
盐湖区, 140802, district
永济市, 140881, district
垣曲县, 140827, district
长治市, 140400, city
城区, 140402, district
壶关县, 140427, district
郊区, 140411, district
黎城县, 140426, district
潞城市, 140481, district
平顺县, 140425, district
沁县, 140430, district
沁源县, 140431, district
屯留县, 140424, district
武乡县, 140429, district
襄垣县, 140423, district
长治县, 140421, district
长子县, 140428, district
甘肃省, 620000, province
白银市, 620400, city
白银区, 620402, district
会宁县, 620422, district
景泰县, 620423, district
靖远县, 620421, district
平川区, 620403, district
甘南藏族自治州, 623000, city
迭部县, 623024, district
合作市, 623001, district
临潭县, 623021, district
碌曲县, 623026, district
玛曲县, 623025, district
夏河县, 623027, district
舟曲县, 623023, district
卓尼县, 623022, district
定西市, 621100, city
安定区, 621102, district
临洮县, 621124, district
陇西县, 621122, district
岷县, 621126, district
通渭县, 621121, district
渭源县, 621123, district
漳县, 621125, district
嘉峪关市, 620200, city
金昌市, 620300, city
金川区, 620302, district
永昌县, 620321, district
酒泉市, 620900, city
阿克塞哈萨克族自治县, 620924, district
敦煌市, 620982, district
瓜州县, 620922, district
金塔县, 620921, district
肃州区, 620902, district
肃北蒙古族自治县, 620923, district
玉门市, 620981, district
兰州市, 620100, city
安宁区, 620105, district
城关区, 620102, district
皋兰县, 620122, district
红古区, 620111, district
七里河区, 620103, district
西固区, 620104, district
永登县, 620121, district
榆中县, 620123, district
临夏回族自治州, 622900, city
东乡族自治县, 622926, district
广河县, 622924, district
和政县, 622925, district
积石山保安族东乡族撒拉族自治县, 622927, district
康乐县, 622922, district
临夏市, 622901, district
临夏县, 622921, district
永靖县, 622923, district
陇南市, 621200, city
成县, 621221, district
宕昌县, 621223, district
徽县, 621227, district
康县, 621224, district
礼县, 621226, district
两当县, 621228, district
文县, 621222, district
武都区, 621202, district
西和县, 621225, district
平凉市, 620800, city
崇信县, 620823, district
华亭县, 620824, district
泾川县, 620821, district
静宁县, 620826, district
崆峒区, 620802, district
灵台县, 620822, district
庄浪县, 620825, district
庆阳市, 621000, city
合水县, 621024, district
华池县, 621023, district
环县, 621022, district
宁县, 621026, district
庆城县, 621021, district
西峰区, 621002, district
镇原县, 621027, district
正宁县, 621025, district
天水市, 620500, city
甘谷县, 620523, district
麦积区, 620503, district
秦安县, 620522, district
秦州区, 620502, district
清水县, 620521, district
武山县, 620524, district
张家川回族自治县, 620525, district
武威市, 620600, city
古浪县, 620622, district
凉州区, 620602, district
民勤县, 620621, district
天祝藏族自治县, 620623, district
张掖市, 620700, city
甘州区, 620702, district
高台县, 620724, district
临泽县, 620723, district
民乐县, 620722, district
山丹县, 620725, district
肃南裕固族自治县, 620721, district
台湾省, 710000, province
江苏省, 320000, province
常州市, 320400, city
金坛区, 320413, district
溧阳市, 320481, district
天宁区, 320402, district
武进区, 320412, district
新北区, 320411, district
钟楼区, 320404, district
淮安市, 320800, city
洪泽区, 320813, district
淮安区, 320803, district
淮阴区, 320804, district
金湖县, 320831, district
涟水县, 320826, district
清江浦区, 320812, district
盱眙县, 320830, district
连云港市, 320700, city
东海县, 320722, district
赣榆区, 320707, district
灌云县, 320723, district
灌南县, 320724, district
海州区, 320706, district
连云区, 320703, district
南京市, 320100, city
高淳区, 320118, district
鼓楼区, 320106, district
江宁区, 320115, district
建邺区, 320105, district
溧水区, 320117, district
六合区, 320116, district
浦口区, 320111, district
栖霞区, 320113, district
秦淮区, 320104, district
玄武区, 320102, district
雨花台区, 320114, district
南通市, 320600, city
崇川区, 320602, district
港闸区, 320611, district
海安县, 320621, district
海门市, 320684, district
启东市, 320681, district
如皋市, 320682, district
如东县, 320623, district
通州区, 320612, district
苏州市, 320500, city
常熟市, 320581, district
姑苏区, 320508, district
虎丘区, 320505, district
昆山市, 320583, district
太仓市, 320585, district
吴江区, 320509, district
吴中区, 320506, district
相城区, 320507, district
张家港市, 320582, district
宿迁市, 321300, city
沭阳县, 321322, district
泗洪县, 321324, district
泗阳县, 321323, district
宿豫区, 321311, district
宿城区, 321302, district
泰州市, 321200, city
高港区, 321203, district
海陵区, 321202, district
姜堰区, 321204, district
靖江市, 321282, district
泰兴市, 321283, district
兴化市, 321281, district
无锡市, 320200, city
滨湖区, 320211, district
惠山区, 320206, district
江阴市, 320281, district
梁溪区, 320213, district
锡山区, 320205, district
新吴区, 320214, district
宜兴市, 320282, district
徐州市, 320300, city
丰县, 320321, district
鼓楼区, 320302, district
贾汪区, 320305, district
沛县, 320322, district
邳州市, 320382, district
泉山区, 320311, district
睢宁县, 320324, district
铜山区, 320312, district
新沂市, 320381, district
云龙区, 320303, district
盐城市, 320900, city
滨海县, 320922, district
大丰区, 320904, district
东台市, 320981, district
阜宁县, 320923, district
建湖县, 320925, district
射阳县, 320924, district
亭湖区, 320902, district
响水县, 320921, district
盐都区, 320903, district
扬州市, 321000, city
宝应县, 321023, district
高邮市, 321084, district
广陵区, 321002, district
邗江区, 321003, district
江都区, 321012, district
仪征市, 321081, district
镇江市, 321100, city
丹徒区, 321112, district
丹阳市, 321181, district
京口区, 321102, district
句容市, 321183, district
润州区, 321111, district
扬中市, 321182, district
河南省, 410000, province
安阳市, 410500, city
安阳县, 410522, district
北关区, 410503, district
滑县, 410526, district
林州市, 410581, district
龙安区, 410506, district
内黄县, 410527, district
汤阴县, 410523, district
文峰区, 410502, district
殷都区, 410505, district
鹤壁市, 410600, city
鹤山区, 410602, district
浚县, 410621, district
淇滨区, 410611, district
淇县, 410622, district
山城区, 410603, district
焦作市, 410800, city
博爱县, 410822, district
解放区, 410802, district
马村区, 410804, district
孟州市, 410883, district
沁阳市, 410882, district
山阳区, 410811, district
温县, 410825, district
武陟县, 410823, district
修武县, 410821, district
中站区, 410803, district
开封市, 410200, city
鼓楼区, 410204, district
兰考县, 410225, district
龙亭区, 410202, district
杞县, 410221, district
顺河回族区, 410203, district
通许县, 410222, district
尉氏县, 410223, district
祥符区, 410212, district
禹王台区, 410205, district
漯河市, 411100, city
临颍县, 411122, district
舞阳县, 411121, district
郾城区, 411103, district
源汇区, 411102, district
召陵区, 411104, district
洛阳市, 410300, city
瀍河回族区, 410304, district
吉利区, 410306, district
涧西区, 410305, district
老城区, 410302, district
栾川县, 410324, district
洛宁县, 410328, district
洛龙区, 410311, district
孟津县, 410322, district
汝阳县, 410326, district
嵩县, 410325, district
西工区, 410303, district
新安县, 410323, district
伊川县, 410329, district
偃师市, 410381, district
宜阳县, 410327, district
南阳市, 411300, city
邓州市, 411381, district
方城县, 411322, district
南召县, 411321, district
内乡县, 411325, district
社旗县, 411327, district
唐河县, 411328, district
桐柏县, 411330, district
宛城区, 411302, district
卧龙区, 411303, district
淅川县, 411326, district
西峡县, 411323, district
新野县, 411329, district
镇平县, 411324, district
平顶山市, 410400, city
宝丰县, 410421, district
郏县, 410425, district
鲁山县, 410423, district
汝州市, 410482, district
石龙区, 410404, district
卫东区, 410403, district
舞钢市, 410481, district
新华区, 410402, district
叶县, 410422, district
湛河区, 410411, district
濮阳市, 410900, city
范县, 410926, district
华龙区, 410902, district
南乐县, 410923, district
濮阳县, 410928, district
清丰县, 410922, district
台前县, 410927, district
商丘市, 411400, city
梁园区, 411402, district
民权县, 411421, district
宁陵县, 411423, district
睢县, 411422, district
睢阳区, 411403, district
夏邑县, 411426, district
永城市, 411481, district
虞城县, 411425, district
柘城县, 411424, district
三门峡市, 411200, city
湖滨区, 411202, district
灵宝市, 411282, district
卢氏县, 411224, district
渑池县, 411221, district
陕州区, 411203, district
义马市, 411281, district
许昌市, 411000, city
建安区, 411003, district
魏都区, 411002, district
襄城县, 411025, district
鄢陵县, 411024, district
禹州市, 411081, district
长葛市, 411082, district
新乡市, 410700, city
封丘县, 410727, district
凤泉区, 410704, district
红旗区, 410702, district
辉县市, 410782, district
获嘉县, 410724, district
牧野区, 410711, district
卫辉市, 410781, district
卫滨区, 410703, district
新乡县, 410721, district
延津县, 410726, district
原阳县, 410725, district
长垣县, 410728, district
信阳市, 411500, city
固始县, 411525, district
光山县, 411522, district
淮滨县, 411527, district
潢川县, 411526, district
罗山县, 411521, district
平桥区, 411503, district
商城县, 411524, district
浉河区, 411502, district
息县, 411528, district
新县, 411523, district
郑州市, 410100, city
登封市, 410185, district
二七区, 410103, district
巩义市, 410181, district
管城回族区, 410104, district
惠济区, 410108, district
金水区, 410105, district
上街区, 410106, district
新密市, 410183, district
新郑市, 410184, district
荥阳市, 410182, district
中牟县, 410122, district
中原区, 410102, district
周口市, 411600, city
沈丘县, 411624, district
川汇区, 411602, district
郸城县, 411625, district
扶沟县, 411621, district
淮阳县, 411626, district
鹿邑县, 411628, district
商水县, 411623, district
太康县, 411627, district
西华县, 411622, district
项城市, 411681, district
驻马店市, 411700, city
泌阳县, 411726, district
平舆县, 411723, district
确山县, 411725, district
上蔡县, 411722, district
汝南县, 411727, district
遂平县, 411728, district
西平县, 411721, district
新蔡县, 411729, district
驿城区, 411702, district
正阳县, 411724, district
济源市, 419001, city
河北省, 130000, province
保定市, 130600, city
安国市, 130683, district
安新县, 130632, district
博野县, 130637, district
定州市, 130682, district
定兴县, 130626, district
阜平县, 130624, district
高阳县, 130628, district
高碑店市, 130684, district
竞秀区, 130602, district
涞水县, 130623, district
莲池区, 130606, district
蠡县, 130635, district
涞源县, 130630, district
满城区, 130607, district
清苑区, 130608, district
曲阳县, 130634, district
容城县, 130629, district
顺平县, 130636, district
唐县, 130627, district
望都县, 130631, district
雄县, 130638, district
徐水区, 130609, district
易县, 130633, district
涿州市, 130681, district
沧州市, 130900, city
沧县, 130921, district
东光县, 130923, district
海兴县, 130924, district
河间市, 130984, district
黄骅市, 130983, district
孟村回族自治县, 130930, district
南皮县, 130927, district
泊头市, 130981, district
青县, 130922, district
任丘市, 130982, district
肃宁县, 130926, district
吴桥县, 130928, district
献县, 130929, district
新华区, 130902, district
盐山县, 130925, district
运河区, 130903, district
承德市, 130800, city
承德县, 130821, district
丰宁满族自治县, 130826, district
宽城满族自治县, 130827, district
隆化县, 130825, district
滦平县, 130824, district
平泉市, 130881, district
双桥区, 130802, district
双滦区, 130803, district
围场满族蒙古族自治县, 130828, district
兴隆县, 130822, district
鹰手营子矿区, 130804, district
邯郸市, 130400, city
成安县, 130424, district
磁县, 130427, district
丛台区, 130403, district
大名县, 130425, district
肥乡区, 130407, district
峰峰矿区, 130406, district
复兴区, 130404, district
广平县, 130432, district
馆陶县, 130433, district
邯山区, 130402, district
鸡泽县, 130431, district
临漳县, 130423, district
曲周县, 130435, district
邱县, 130430, district
涉县, 130426, district
魏县, 130434, district
武安市, 130481, district
永年区, 130408, district
衡水市, 131100, city
安平县, 131125, district
阜城县, 131128, district
故城县, 131126, district
冀州区, 131103, district
景县, 131127, district
饶阳县, 131124, district
深州市, 131182, district
桃城区, 131102, district
武强县, 131123, district
武邑县, 131122, district
枣强县, 131121, district
廊坊市, 131000, city
霸州市, 131081, district
安次区, 131002, district
大厂回族自治县, 131028, district
大城县, 131025, district
固安县, 131022, district
广阳区, 131003, district
三河市, 131082, district
文安县, 131026, district
香河县, 131024, district
永清县, 131023, district
秦皇岛市, 130300, city
北戴河区, 130304, district
昌黎县, 130322, district
抚宁区, 130306, district
海港区, 130302, district
卢龙县, 130324, district
青龙满族自治县, 130321, district
山海关区, 130303, district
石家庄市, 130100, city
藁城区, 130109, district
高邑县, 130127, district
井陉县, 130121, district
晋州市, 130183, district
井陉矿区, 130107, district
灵寿县, 130126, district
栾城区, 130111, district
鹿泉区, 130110, district
平山县, 130131, district
桥西区, 130104, district
深泽县, 130128, district
无极县, 130130, district
辛集市, 130181, district
行唐县, 130125, district
新乐市, 130184, district
新华区, 130105, district
裕华区, 130108, district
元氏县, 130132, district
赞皇县, 130129, district
长安区, 130102, district
正定县, 130123, district
赵县, 130133, district
唐山市, 130200, city
曹妃甸区, 130209, district
丰南区, 130207, district
丰润区, 130208, district
古冶区, 130204, district
开平区, 130205, district
乐亭县, 130225, district
滦南县, 130224, district
滦县, 130223, district
路南区, 130202, district
路北区, 130203, district
迁安市, 130283, district
迁西县, 130227, district
玉田县, 130229, district
遵化市, 130281, district
邢台市, 130500, city
柏乡县, 130524, district
广宗县, 130531, district
巨鹿县, 130529, district
临城县, 130522, district
临西县, 130535, district
隆尧县, 130525, district
内丘县, 130523, district
南宫市, 130581, district
南和县, 130527, district
宁晋县, 130528, district
平乡县, 130532, district
桥东区, 130502, district
桥西区, 130503, district
清河县, 130534, district
任县, 130526, district
沙河市, 130582, district
威县, 130533, district
新河县, 130530, district
邢台县, 130521, district
